dice,iou,precision,recall,boundary_f1,boundary_f1_2px,tolerance_px,hd95,hd95_pct_diag,n_lesions,n_pred_components,detected_iou025,det_rate_iou025,detected_iou05,det_rate_iou05,n_false_positives,name,dataset,model,checkpoint,tta
0.9856068894921218,0.9716222234579808,0.9868677730330117,0.9843492238047117,0.8395013693511131,0.5596364382871494,4,7.211102550927978,0.8674329966989958,1,1,1,1.0,1,1.0,0,cju0s2a9ekvms080138tjjpxr,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.9314503474552054,0.871695896617362,0.8837090599735392,0.9846445497618665,0.542728751169388,0.38987199138751205,4,57.0331581635386,6.866025202853223,1,1,1,1.0,1,1.0,0,cju0u82z3cuma0835wlxrnrjv,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.96025606828203,0.9235505387325491,0.9313556398704648,0.991007524310326,0.8039682513032179,0.6856773991443651,4,15.27732938116305,1.8377300160506669,1,1,1,1.0,1,1.0,0,cju0ue769mxii08019zqgdbxn,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.9583162404838891,0.9199684949768745,0.9286850125868442,0.9899006544540941,0.7664761363250335,0.5270781186573033,4,106.95296634424382,12.875698735353508,1,2,1,1.0,1,1.0,1,cju13cgqmnhwn0988yrainhcp,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.9731648695718141,0.9477323483917116,0.9792540327032344,0.9671509653080728,0.7658733025566369,0.5561563610257833,4,9.974873734152917,1.2204751129618534,1,1,1,1.0,1,1.0,0,cju13fwthn9mq0835gacxgy01,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.8990023474165214,0.8165342998752291,0.9292408480151368,0.8706698115863745,0.5360346922612746,0.4411498143207468,4,31.688866160787214,3.874752416997994,1,1,1,1.0,1,1.0,0,cju13hp5rnbjx0835bf0jowgx,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.9628496091899392,0.9283606482931667,0.9460559796415775,0.980250227695268,0.690293345940517,0.44887330652849355,4,11.40175425099138,1.3939897840803606,1,1,1,1.0,1,1.0,0,cju14hjh2ob2o0835ouz3r5aa,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.9796455738506653,0.9601032236883623,0.9688339602324274,0.9907012130648349,0.9240523392615806,0.7003490344335012,4,5.0,0.6118599117473807,1,1,1,1.0,1,1.0,0,cju14pxbaoksp0835qzorx6g6,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.9807336735439495,0.9621956971284653,0.9759517194410643,0.9855627194838522,0.7766923914445067,0.6250531889104189,4,7.0710678118654755,0.865987517659282,1,1,1,1.0,1,1.0,0,cju15wdt3zla10801odjiw7sy,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.9306342483033685,0.8702674897029807,0.8768529076305913,0.9914439756095704,0.7601877907794169,0.3229124945201479,4,7.942365965879573,0.9856229478778432,1,1,1,1.0,1,1.0,0,cju160wshltz10993i1gmqxbe,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.9802863070058222,0.9613348469680885,0.9740234597415168,0.9866302141000062,0.746319335295292,0.41995775712220046,4,7.0710678118654755,0.8715511236901937,1,1,1,1.0,1,1.0,0,cju16ach3m1da0993r1dq3sn2,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.9443931276469204,0.8946447322209548,0.9740853658350975,0.9164575116364924,0.9145133250826069,0.5758278344208528,4,4.242640687119285,0.5445816640026877,1,1,1,1.0,1,1.0,0,cju16b6ynq8e40988m8vx0xnj,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.10801732333357134,0.057092131268290484,0.9102723873792011,0.05741524709997708,0.14329389681385782,0.06838673696571396,4,246.87841120229345,29.697328326295107,1,1,0,0.0,0,0.0,1,cju16whaj0e7n0855q7b6cjkm,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.9445499202599057,0.8949261915755429,0.9048982967766627,0.9878357703585833,0.6633842117530983,0.500198982403571,4,88.09085230967564,10.840311147507732,1,1,1,1.0,1,1.0,0,cju171py4qiha0835u8sl59ds,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.7573168003574463,0.609420647656041,0.9944605777768545,0.6114964596100292,0.5808312424976275,0.46696030382406534,4,140.11138283719225,17.70691477680853,1,1,1,1.0,1,1.0,0,cju17g6ykn1cs0993dww6qdi8,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.9851665905975967,0.9707668090841862,0.9941680255928484,0.9763266952720772,0.7624365659988294,0.643389727297897,4,96.56603957913983,13.258338233419764,1,1,1,1.0,1,1.0,0,cju17otoe119u0799nqcbl8n1,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.942329438359815,0.8909479686174638,0.9429218003283149,0.9417378201672091,0.906674274162056,0.6654494824044936,4,4.47213595499958,0.5468299027442318,1,1,1,1.0,1,1.0,0,cju17r8il13910799dr2wme2e,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.9719265148438038,0.945386228588648,0.992386718030354,0.9522929319574207,0.8058965858634359,0.5959371155229499,4,8.704111011190173,1.0881490533102625,1,1,1,1.0,1,1.0,0,cju1819curo000988pd5xcqme,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.9770531079449261,0.955135711866773,0.9748213858835759,0.9792950719043216,0.8187607858429172,0.6142190642191182,4,7.0,0.8603736219889457,1,1,1,1.0,1,1.0,0,cju18849rrsgr0988p90hkygb,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
0.9160958904031156,0.8451816745522088,0.9445621468759788,0.8892952127511753,0.7672013761090013,0.3416401430785484,4,9.055385138137417,1.1171751498714744,1,1,1,1.0,1,1.0,0,cju18ibp219ub08783i6o98g7,kvasir-seg,unet,polypseg/runs_cv/unet_seed42_fold3/best.pth,True
