name,sessile,area,unet,unetpp,segformer,mean_dice
cju0qoxqj9q6s0835b43399p4,True,0.2705947197648298,0.9422448943567555,0.9375334071660858,0.9184431448991659,0.9327404821406691
cju0qx73cjw570799j4n5cjze,False,0.3188263282139923,0.8200372888786904,0.8897423749702681,0.8517544874284421,0.8538447170924669
cju0rx1idathl0835detmsp84,False,0.0727677913658464,0.9066235999813193,0.9431594277372073,0.9135521463993409,0.9211117247059558
cju0sxqiclckk08551ycbwhno,True,0.0435061287871278,0.614085300050171,0.7058413345472675,0.656276391553023,0.6587343420501538
cju0t4oil7vzk099370nun5h9,False,0.3398895832069404,0.968684306890642,0.9710831460669793,0.9751613072439739,0.9716429200671984
cju15czxqp3lv0835jvhgzurz,False,0.2729875567612195,0.9559171520354397,0.974724218330399,0.914953122200313,0.9485314975220506
cju15jr8jz8sb0855ukmkswkz,False,0.3139252372206917,0.824529585127597,0.9590073635989611,0.6052534692717323,0.7962634726660968
cju15ptjtppz40988odsm9azx,False,0.0594885697092737,0.9235890849015083,0.9469039710451963,0.8571621743422493,0.9092184100963179
cju17bz250pgd0799u1hqkj5u,False,0.0905812126557289,0.9579782270591634,0.9661493954672482,0.9100911477524113,0.944739590092941
cju17v6ih0u7808783zcbg1jy,False,0.3508294358374744,0.9845923696783294,0.987838106688614,0.9729943249893684,0.9818082671187707
cju1871y11d6r0799k6cw4yze,False,0.1528680163214061,0.9787876461695213,0.9823470436679286,0.9664031879599848,0.9758459592658116
cju1b75x63ddl0799sdp0i2j3,False,0.0672199883149465,0.9499497782871948,0.9451511687277865,0.9422217929812825,0.9457742466654212
cju1bhnfitmge0835ynls0l6b,False,0.0819118208076734,0.9444150717265087,0.9477611940281747,0.933370407700578,0.9418488911517539
cju1c6yfz42md08550zgoz3pw,False,0.2676710785694171,0.9559134661196633,0.9677229746991006,0.9567831973872261,0.9601398794019967
cju1c8ffau5770835g0g343o8,True,0.0356159470942565,0.9661213448367636,0.9664058108825871,0.9432157275717781,0.9585809610970429
cju1d31sp4d4k0878r3fr02ul,False,0.0821911147040767,0.984795451597339,0.9820543750561713,0.9625474405239979,0.9764657557258362
cju1d96gsv62d09881b3wecw2,False,0.252773920880834,0.8894322195049797,0.9042555274850647,0.9444372121273893,0.9127083197058111
cju1ddr6p4k5z08780uuuzit2,False,0.0317507516437043,0.7130654856013092,0.8491110597965301,0.8350704386620371,0.7990823280199587
cju1dhfok4mhe0878jlgrag0h,False,0.0610188533511217,0.9555870717300998,0.971635691347252,0.9111433493496438,0.9461220374756653
cju1efbr0rqxz09931z0lf4vf,False,0.0600416973115567,0.9079433353571744,0.9248032643521694,0.9110967525763728,0.9146144507619055
