epoch,train_loss,val_dice,lr,seconds
1,1.17322,0.74804,9.993148e-05,11.2
2,0.83366,0.84319,9.972609e-05,4.7
3,0.72840,0.84914,9.938442e-05,4.8
4,0.67402,0.84619,9.890738e-05,5.0
5,0.62296,0.87924,9.829629e-05,5.0
6,0.57959,0.86201,9.755283e-05,4.9
7,0.53239,0.87517,9.667902e-05,4.8
8,0.48356,0.88442,9.567727e-05,4.9
9,0.44764,0.88237,9.455033e-05,4.7
10,0.41161,0.89143,9.330127e-05,4.8
11,0.37368,0.89644,9.193353e-05,4.9
12,0.37859,0.90467,9.045085e-05,5.1
13,0.34527,0.89922,8.885730e-05,4.9
14,0.33677,0.88297,8.715724e-05,4.8
15,0.30726,0.88662,8.535534e-05,4.8
16,0.30440,0.89688,8.345653e-05,4.9
17,0.28717,0.89438,8.146602e-05,4.7
18,0.27127,0.90177,7.938926e-05,4.9
19,0.26529,0.88639,7.723195e-05,4.8
20,0.24367,0.88903,7.500000e-05,4.8
21,0.26694,0.90553,7.269952e-05,5.0
22,0.21806,0.90960,7.033683e-05,5.0
23,0.21570,0.91135,6.791840e-05,4.9
24,0.21778,0.90257,6.545085e-05,5.0
25,0.21072,0.90324,6.294095e-05,5.0
26,0.19866,0.90022,6.039558e-05,4.8
27,0.20785,0.88885,5.782172e-05,4.9
28,0.20494,0.88355,5.522642e-05,4.7
29,0.18548,0.89526,5.261680e-05,5.0
30,0.19005,0.91078,5.000000e-05,5.0
31,0.16618,0.91179,4.738320e-05,4.9
32,0.16597,0.90815,4.477358e-05,4.9
33,0.16135,0.89990,4.217828e-05,4.8
34,0.17137,0.90439,3.960442e-05,4.8
35,0.16310,0.90571,3.705905e-05,4.7
36,0.15819,0.91404,3.454915e-05,4.7
37,0.15570,0.91482,3.208160e-05,4.8
38,0.15024,0.91441,2.966317e-05,4.9
39,0.14475,0.90599,2.730048e-05,4.7
40,0.14527,0.90246,2.500000e-05,4.7
41,0.14630,0.90812,2.276805e-05,4.6
42,0.14482,0.91270,2.061074e-05,4.7
43,0.13760,0.90809,1.853398e-05,4.9
44,0.13431,0.91195,1.654347e-05,4.9
45,0.14138,0.90088,1.464466e-05,4.9
46,0.13557,0.90585,1.284276e-05,4.6
47,0.13941,0.90466,1.114270e-05,4.7
48,0.13064,0.90535,9.549150e-06,5.0
49,0.13699,0.90292,8.066472e-06,5.0
50,0.12615,0.90157,6.698730e-06,5.0
51,0.12730,0.90200,5.449674e-06,5.1
52,0.13051,0.90170,4.322727e-06,4.9
