epoch,train_loss,val_dice,lr,seconds
1,0.93577,0.77328,9.993148e-05,13.2
2,0.52315,0.79649,9.972609e-05,7.0
3,0.40949,0.82282,9.938442e-05,6.8
4,0.38353,0.83585,9.890738e-05,6.3
5,0.32863,0.85564,9.829629e-05,6.7
6,0.30073,0.83717,9.755283e-05,6.6
7,0.28200,0.85901,9.667902e-05,6.6
8,0.26826,0.85324,9.567727e-05,6.2
9,0.27596,0.87246,9.455033e-05,6.5
10,0.23930,0.87032,9.330127e-05,6.4
11,0.24363,0.87573,9.193353e-05,6.8
12,0.22120,0.86634,9.045085e-05,6.4
13,0.21012,0.87259,8.885730e-05,6.5
14,0.21045,0.86471,8.715724e-05,6.5
15,0.21136,0.84432,8.535534e-05,6.4
16,0.19802,0.87014,8.345653e-05,6.5
17,0.20330,0.86982,8.146602e-05,6.4
18,0.18083,0.87556,7.938926e-05,7.0
19,0.18346,0.86816,7.723195e-05,6.2
20,0.17371,0.87341,7.500000e-05,6.4
21,0.18312,0.87071,7.269952e-05,6.5
22,0.17790,0.87113,7.033683e-05,6.5
23,0.17804,0.87272,6.791840e-05,7.0
24,0.17658,0.86406,6.545085e-05,6.9
25,0.16378,0.86205,6.294095e-05,6.8
26,0.15403,0.88276,6.039558e-05,7.1
27,0.15495,0.88176,5.782172e-05,6.8
28,0.15698,0.87625,5.522642e-05,6.7
29,0.16056,0.86752,5.261680e-05,7.1
30,0.15830,0.86251,5.000000e-05,6.8
31,0.14365,0.87619,4.738320e-05,6.6
32,0.13543,0.87429,4.477358e-05,6.6
33,0.14569,0.87301,4.217828e-05,6.8
34,0.15555,0.87082,3.960442e-05,6.6
35,0.14355,0.86988,3.705905e-05,6.6
36,0.13601,0.87154,3.454915e-05,6.6
37,0.13371,0.87711,3.208160e-05,6.4
38,0.13613,0.88688,2.966317e-05,7.4
39,0.13491,0.88720,2.730048e-05,6.8
40,0.13126,0.89302,2.500000e-05,6.8
41,0.13198,0.88778,2.276805e-05,6.4
42,0.12518,0.88473,2.061074e-05,6.2
43,0.12940,0.88125,1.853398e-05,5.3
44,0.14308,0.88002,1.654347e-05,5.6
45,0.12284,0.88020,1.464466e-05,6.7
46,0.12187,0.88129,1.284276e-05,6.5
47,0.12442,0.88440,1.114270e-05,6.5
48,0.13084,0.88957,9.549150e-06,6.5
49,0.12287,0.88950,8.066472e-06,6.2
50,0.12172,0.88449,6.698730e-06,6.7
51,0.12119,0.88423,5.449674e-06,6.6
52,0.11572,0.88403,4.322727e-06,6.4
53,0.13417,0.88729,3.320979e-06,6.7
54,0.12741,0.88693,2.447174e-06,6.5
55,0.12246,0.88485,1.703709e-06,6.7
