model,params_M,dice,iou,bf1,hd95_pct,det_iou50,fp_per_img
U-Net,24.44,0.9007341896347496,0.8426411765626874,0.6725284929531538,5.89348437347985,0.9307666666666666,0.232
U-Net++,26.08,0.901113694624567,0.8437146696797997,0.677743903984158,6.3415414712653,0.9327666666666666,0.19
SegFormer-B0,3.71,0.8931991165905098,0.8293077878005054,0.5947066789026387,6.137773977632079,0.9269166666666667,0.173
SegFormer-B2,24.72,0.9141780247799971,0.8598358028128991,0.6661158814021665,4.863538794132288,0.9407833333333333,0.092
U-Net+PVTv2,28.13,0.9133017813910581,0.8605859795277556,0.6995223142793641,5.285031399731046,0.9333499999999999,0.107
