model,Kvasir-SEG,CVC-ClinicDB,CVC-300,CVC-ColonDB,ETIS-Larib
U-Net,0.9307666666666666,0.8878540305010892,0.8866666666666667,0.7631578947368421,0.7360544217687074
U-Net++,0.9327666666666666,0.8919934640522876,0.8866666666666667,0.7742105263157895,0.7261904761904763
SegFormer-B0,0.9269166666666667,0.8850217864923748,0.89,0.7589473684210526,0.720748299319728
SegFormer-B2,0.9407833333333333,0.9151416122004358,0.8866666666666667,0.8131578947368421,0.8129251700680272
U-Net+PVTv2,0.9333499999999999,0.9139433551198256,0.8933333333333333,0.8147368421052632,0.827891156462585
