d_epoch,d_val,d_test
3,0.007711819415627819,0.0034113731006145676
11,0.007408902303403964,0.009609508777538522
14,0.000302917112223855,0.006198135676923955
10,0.0011857669009300853,0.001090336988743279
11,0.00146755796693121,0.00766695818935359
1,0.0002817910660011247,0.006576621200610311
8,0.0019559885721512904,0.0010046948547529633
7,0.002492891685833998,0.0014722633846883104
15,0.004448880257985288,0.0024769582394412737
0,0.00027958077427236994,0.001439309244258391
21,1.1846066957588164e-05,0.01285839733708738
21,0.00026773470731478177,0.01429770658134577
9,0.000411480101757733,0.00493289212529191
1,0.0015250215474729156,0.0059655183815834345
2,0.0026808896369010515,0.01056596023383971
3,0.004205911184373967,0.004600441852256276
4,0.011263152259828879,0.009487066206325445
26,5.98017359872971e-05,0.018806422944444234
22,0.011203350523841582,0.00931935673811879
11,0.015139189430666056,0.0001528755629286449
1,0.011522913054606732,0.0004854083393412978
10,0.003616276376059324,0.0003325327764126529
8,0.013586041716735386,0.00816704805925672
7,0.009454229856898366,0.006459883739558747
4,0.006820339635409067,0.004421778389479103
11,0.002633890221489299,0.01088166212903785
2,0.00866527277821516,0.0017711937095228336
9,0.0018485911469728888,0.013672831350379222
7,0.006816681631242272,0.015444025059902056
35,0.006832980020072377,0.013079294821711773
8,0.002145017802209881,0.004293362152839708
27,0.008977997822282258,0.01737265697455148
4,4.396718878341144e-05,0.00015829441997339266
27,0.016557347931951405,0.008948924298122773
23,0.016513380743167994,0.00879062987814938
4,0.0030661593871919024,0.001241527257668129
27,0.0010648137557295323,0.006087911871386353
23,0.004130973142921435,0.004846384613718224
10,0.0020906129211702984,0.0001970882601451951
11,0.010265872754395944,0.011965757998650184
21,0.012356485675566242,0.012162846258795379
13,0.0022181604820110667,0.015415975772842927
2,3.4635281260020356e-05,0.011765287067715846
11,0.002252795763271087,0.003650688705127081
7,0.0064311527187724815,0.0012148181259387103
5,0.006455176659563855,3.132576722253422e-05
12,0.012886329378336336,0.001183492358716176
