model,Kvasir-SEG,CVC-ClinicDB,CVC-300,CVC-ColonDB,ETIS-Larib
U-Net,0.9007341896347494,0.8488765305035797,0.8552448911269973,0.7190682520062974,0.6805320438461975
U-Net++,0.901113694624567,0.8534909622169587,0.8443016863957677,0.7249863496099085,0.6551235449876016
SegFormer-B0,0.8931991165905098,0.8450427895371473,0.8394865926440895,0.7275426614334968,0.6743102077240855
SegFormer-B2,0.9141780247799973,0.871759267275019,0.8549549514063137,0.7738207904675318,0.7684876231158742
U-Net+PVTv2,0.913301781391058,0.873792281606218,0.8728081702242777,0.7667962635837341,0.7705996048275511
