condition,description,n_models,mean_sd,mean_spread,max_spread
A,"unfixed worker RNG, default kernels",5,0.005801426754267222,0.010785625386314491,0.01737265697455148
B,"unfixed worker RNG, deterministic",2,0.0046315282688162845,0.006549970092274315,0.00816704805925672
C,"fixed worker RNG, default kernels",5,0.005619121862707425,0.01069589612463937,0.015415975772842927
D,"fixed worker RNG, deterministic",5,0.004602083508080038,0.008806027248222525,0.018806422944444234
