epoch,train_loss,val_dice,lr,seconds
1,1.19981,0.64685,9.993148e-05,4.6
2,0.96628,0.70111,9.972609e-05,3.9
3,0.87382,0.76596,9.938442e-05,3.9
4,0.80556,0.79777,9.890738e-05,3.9
5,0.74775,0.81062,9.829629e-05,3.8
6,0.67921,0.82368,9.755283e-05,3.9
7,0.61534,0.82998,9.667902e-05,5.3
8,0.58324,0.80593,9.567727e-05,3.5
9,0.54940,0.81260,9.455033e-05,3.9
10,0.50680,0.83887,9.330127e-05,3.9
11,0.47561,0.82880,9.193353e-05,3.8
12,0.43736,0.83161,9.045085e-05,4.0
13,0.41000,0.84776,8.885730e-05,4.0
14,0.37873,0.84559,8.715724e-05,3.6
15,0.36922,0.83779,8.535534e-05,3.9
16,0.34598,0.85585,8.345653e-05,3.9
17,0.33261,0.85282,8.146602e-05,3.6
18,0.31666,0.84668,7.938926e-05,3.9
19,0.30750,0.84812,7.723195e-05,3.9
20,0.29361,0.86284,7.500000e-05,4.0
21,0.28250,0.85900,7.269952e-05,3.7
22,0.27601,0.86639,7.033683e-05,3.8
23,0.26872,0.86250,6.791840e-05,3.9
24,0.26005,0.86883,6.545085e-05,3.8
25,0.23971,0.86318,6.294095e-05,4.0
26,0.25576,0.86882,6.039558e-05,3.9
27,0.22891,0.86805,5.782172e-05,4.0
28,0.22586,0.87063,5.522642e-05,3.9
29,0.21205,0.86645,5.261680e-05,3.9
30,0.21455,0.87554,5.000000e-05,3.9
31,0.21850,0.86926,4.738320e-05,3.9
32,0.20304,0.87119,4.477358e-05,3.9
33,0.20109,0.88652,4.217828e-05,3.9
34,0.19045,0.87492,3.960442e-05,3.8
35,0.18797,0.88118,3.705905e-05,3.8
36,0.19226,0.87325,3.454915e-05,3.8
37,0.19093,0.87401,3.208160e-05,3.5
38,0.17235,0.87219,2.966317e-05,3.4
39,0.17824,0.87426,2.730048e-05,4.0
40,0.17954,0.87517,2.500000e-05,3.6
41,0.17665,0.87947,2.276805e-05,3.7
42,0.16392,0.87793,2.061074e-05,3.8
43,0.17619,0.87149,1.853398e-05,3.8
44,0.17109,0.88090,1.654347e-05,3.9
45,0.16191,0.88021,1.464466e-05,3.7
46,0.15810,0.87571,1.284276e-05,3.8
47,0.15643,0.87964,1.114270e-05,3.9
48,0.15259,0.87609,9.549150e-06,3.8
