dice,iou,precision,recall,boundary_f1,boundary_f1_2px,tolerance_px,hd95,hd95_pct_diag,n_lesions,n_pred_components,detected_iou025,det_rate_iou025,detected_iou05,det_rate_iou05,n_false_positives,name,dataset,model,checkpoint,tta
0.8698973562838149,0.7697507488552355,0.9716082244783919,0.7874633290201546,0.148254258958617,0.025655034050193957,9,142.08324979421835,8.255626978370229,1,1,1,1.0,1,1.0,0,cju0qoxqj9q6s0835b43399p4,kvasir-seg,segformer,polypseg/runs_repeat/segformer_seed42_fold0rep1/best.pth,False
0.8560766045544224,0.748368822565226,0.9312725225214737,0.7921168582367891,0.32168587096368934,0.16141871409796446,4,96.2493863979421,11.820628003756136,1,1,1,1.0,1,1.0,0,cju0qx73cjw570799j4n5cjze,kvasir-seg,segformer,polypseg/runs_repeat/segformer_seed42_fold0rep1/best.pth,False
0.9379974495384152,0.883234648665135,0.9795646583349579,0.8998143929768843,0.6586662455927484,0.5158844801251283,4,23.353786456643743,2.8758007659156295,1,1,1,1.0,1,1.0,0,cju0rx1idathl0835detmsp84,kvasir-seg,segformer,polypseg/runs_repeat/segformer_seed42_fold0rep1/best.pth,False
0.7092686957699786,0.5495091762673943,0.5564679949839804,0.9777490886924532,0.4014941572955883,0.26815525981442556,4,283.3288309075814,36.370239038408485,1,2,1,1.0,1,1.0,1,cju0sxqiclckk08551ycbwhno,kvasir-seg,segformer,polypseg/runs_repeat/segformer_seed42_fold0rep1/best.pth,False
0.9767814531837489,0.9546166419901286,0.9587355067161519,0.9955197772374379,0.6295255786088547,0.39792012323327874,4,21.65549442140351,2.6500257811051693,1,2,1,1.0,1,1.0,1,cju0t4oil7vzk099370nun5h9,kvasir-seg,segformer,polypseg/runs_repeat/segformer_seed42_fold0rep1/best.pth,False
0.9257171097748186,0.861707021677296,0.8682117012714674,0.9913805208401385,0.3934226849656759,0.22447756286628315,4,34.00587727318528,4.112918438076778,1,1,1,1.0,1,1.0,0,cju15czxqp3lv0835jvhgzurz,kvasir-seg,segformer,polypseg/runs_repeat/segformer_seed42_fold0rep1/best.pth,False
0.5266426252072254,0.35744391294155425,0.9998295502940262,0.3574656956840474,0.2653877979382256,0.16636685820744535,4,146.27260220068848,18.40496733213848,1,1,1,1.0,0,0.0,0,cju15jr8jz8sb0855ukmkswkz,kvasir-seg,segformer,polypseg/runs_repeat/segformer_seed42_fold0rep1/best.pth,False
0.8853771402108158,0.7943288910997869,0.8091431954630417,0.9774701134107618,0.566508982150441,0.40741761305354485,4,32.055416399273014,3.9257989335867496,1,1,1,1.0,1,1.0,0,cju15ptjtppz40988odsm9azx,kvasir-seg,segformer,polypseg/runs_repeat/segformer_seed42_fold0rep1/best.pth,False
0.9206895005144035,0.8530348782423662,0.858385370202781,0.9927459135280886,0.32245887084852537,0.14738610377822564,4,18.0,2.1652436406652718,1,1,1,1.0,1,1.0,0,cju17bz250pgd0799u1hqkj5u,kvasir-seg,segformer,polypseg/runs_repeat/segformer_seed42_fold0rep1/best.pth,False
0.9737634370901063,0.94886839183453,0.9834299623801873,0.9642850943420609,0.6451852986279629,0.3800887363503916,4,16.063873126031886,1.9688898737833718,1,1,1,1.0,1,1.0,0,cju17v6ih0u7808783zcbg1jy,kvasir-seg,segformer,polypseg/runs_repeat/segformer_seed42_fold0rep1/best.pth,False
