epoch,train_loss,val_dice,lr,seconds
1,1.20998,0.63990,9.993148e-05,4.2
2,0.96052,0.70130,9.972609e-05,3.5
3,0.87948,0.78773,9.938442e-05,3.5
4,0.80103,0.82340,9.890738e-05,3.4
5,0.72968,0.85503,9.829629e-05,3.4
6,0.67178,0.84824,9.755283e-05,3.4
7,0.62244,0.86914,9.667902e-05,3.4
8,0.57495,0.87784,9.567727e-05,3.6
9,0.53762,0.87243,9.455033e-05,3.6
10,0.49817,0.88555,9.330127e-05,3.5
11,0.46423,0.85222,9.193353e-05,3.4
12,0.43842,0.87429,9.045085e-05,3.5
13,0.41719,0.86774,8.885730e-05,3.6
14,0.39848,0.87867,8.715724e-05,3.5
15,0.36675,0.87231,8.535534e-05,3.6
16,0.35697,0.88941,8.345653e-05,3.6
17,0.34022,0.87607,8.146602e-05,3.5
18,0.32558,0.88145,7.938926e-05,3.5
19,0.31208,0.88215,7.723195e-05,3.4
20,0.30008,0.88106,7.500000e-05,3.3
21,0.28981,0.88898,7.269952e-05,3.4
22,0.28454,0.88034,7.033683e-05,3.5
23,0.27139,0.88625,6.791840e-05,3.5
24,0.25969,0.88156,6.545085e-05,3.4
25,0.24990,0.90167,6.294095e-05,3.5
26,0.24171,0.89251,6.039558e-05,3.6
27,0.24458,0.88886,5.782172e-05,3.5
28,0.23205,0.89336,5.522642e-05,3.5
29,0.21695,0.89069,5.261680e-05,3.5
30,0.22246,0.87673,5.000000e-05,3.6
31,0.22885,0.89015,4.738320e-05,3.6
32,0.20484,0.88771,4.477358e-05,3.5
33,0.19248,0.88056,4.217828e-05,3.6
34,0.19774,0.88744,3.960442e-05,3.5
35,0.19529,0.88483,3.705905e-05,3.3
36,0.19021,0.89689,3.454915e-05,3.5
37,0.18763,0.89551,3.208160e-05,3.4
38,0.17828,0.90251,2.966317e-05,3.6
39,0.18489,0.89975,2.730048e-05,3.4
40,0.17753,0.89990,2.500000e-05,3.6
41,0.17488,0.89219,2.276805e-05,3.5
42,0.17819,0.89565,2.061074e-05,3.5
43,0.16687,0.90210,1.853398e-05,3.5
44,0.17843,0.90130,1.654347e-05,3.5
45,0.16685,0.90080,1.464466e-05,3.6
46,0.16375,0.90340,1.284276e-05,3.5
47,0.15822,0.89865,1.114270e-05,3.4
48,0.16814,0.89897,9.549150e-06,3.5
49,0.16125,0.89889,8.066472e-06,3.5
50,0.15512,0.89351,6.698730e-06,3.6
51,0.17168,0.90422,5.449674e-06,3.5
52,0.15642,0.90384,4.322727e-06,3.3
53,0.15024,0.90365,3.320979e-06,3.5
54,0.15311,0.90269,2.447174e-06,3.2
55,0.15416,0.90270,1.703709e-06,3.4
56,0.15940,0.90294,1.092620e-06,3.4
57,0.15578,0.90130,6.155830e-07,3.3
58,0.14988,0.90201,2.739052e-07,3.4
59,0.15701,0.90263,6.852326e-08,3.4
60,0.15334,0.90364,0.000000e+00,3.3
