dice,iou,precision,recall,boundary_f1,hd95,name,dataset,model,checkpoint,tta
0.9603321248965497,0.9236912555377299,0.9376769891273005,0.9841091031087098,0.44249814631146767,10.0,cju14hjh2ob2o0835ouz3r5aa,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.959962236620521,0.9230070968781344,0.9475333916896407,0.972721474950798,0.5772520324326545,13.412670674955114,cju16jgnyzp970878melv7r25,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.951784115603635,0.908003904321425,0.9697680479288567,0.9344550476912493,0.6584070296536964,4.236663934044202,cju17r8il13910799dr2wme2e,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9769215543960191,0.9548843088168936,0.9663760246411361,0.9876997785400152,0.6417894058869817,7.827097897638741,cju18849rrsgr0988p90hkygb,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9463391020187671,0.8981438941427081,0.8985567199811613,0.9994887264123958,0.42538349256024355,13.499686054680243,cju1b75x63ddl0799sdp0i2j3,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9592987183346513,0.9217810482558112,0.9787130145400974,0.9406396662602636,0.27017691761449153,19.313207915827967,cju1c0qb4tzi308355wtsnp0y,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9792993776095311,0.9594384054709632,0.9725000453776977,0.9861944556915911,0.600608938643157,97.0,cju1c3218411b08014g9f6gig,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9404908419570677,0.8876665527783555,0.9331274242139553,0.9479713952061589,0.523503868588497,294.6082144136514,cju1cbokpuiw70988j4lq1fpi,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9559829279555818,0.9156774860812901,0.922081142739202,0.9924727738576101,0.47341881298820093,8.94427190999916,cju1cdxvz48hw0801i0fjwcnk,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.12740226867900425,0.06803504380469917,0.9718712753161873,0.06816927784367367,0.16902946860791226,304.8622639816217,cju1drnhbrb9409935wi7vkhg,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9777664802559265,0.9565001160407264,0.9585340731602534,0.9977864628333352,0.7648404147582247,8.06225774829855,cju1haab178i70799tk9z8y8x,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9708070978809722,0.9432703003316056,0.98455822593525,0.9574347973332789,0.6837592901446532,21.606601717798213,cju2hos57llxm08359g92p6jj,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.96464395819162,0.9317026406749387,0.9342946617130081,0.9970311649941758,0.28843210673566205,14.926337811025185,cju2hw5gjlr5h0988so2qqres,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9834644737613267,0.9674668994602539,0.9771344599544789,0.989877035756409,0.7269743555789634,7.810249675906654,cju2lberzkdzm09938cl40pog,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.969356796114054,0.940535766848491,0.9448003942782415,0.9952237566140836,0.6953419138112525,7.464724658401368,cju2lcyfgkf5809932fn9gucn,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9578713968947611,0.9191489361683233,0.9314029788544289,0.9858881636951272,0.39138797003262915,8.0,cju2nqapmzvk20801f9us40dx,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9522039607382768,0.9087684292156702,0.9093228328938532,0.9993295544523719,0.31959693810103257,7.211102550927978,cju2nsmwjlzyl0993jl80chvz,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9684549545553506,0.9388392284293279,0.9471435968202142,0.990747427328982,0.6810182975978166,8.48528137423857,cju2otvvv0l7z0855x7we8cb0,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9788627167856239,0.9586005063925599,0.9691167181909872,0.9888067295265287,0.7447937433874677,7.615773105863909,cju2pjb9v0ywn0878j5g5n69j,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9834904582764802,0.9675171928135029,0.9722588173290381,0.9949846303179521,0.5741684727358085,10.473308819446366,cju2qdj95ru8g09886gfi9rsz,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9810421997234999,0.9627898225591762,0.9780780427544651,0.9840243776149223,0.5806945125480231,6.798919902340896,cju2qn2fzs1vy0988l243cvzy,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9804496859315307,0.961649143159096,0.9884004283269248,0.9726258351506988,0.392429368531428,13.038404810405298,cju2qqn5ys4uo0988ewrt2ip2,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.803966798760269,0.6721943821684288,0.9883179835143562,0.6775780133572245,0.3424701262361184,69.46041994142853,cju2qtee81yd708787bsjr75d,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.890386836357306,0.8024299508436789,0.9451025609892644,0.8416598210030247,0.30103532903941055,56.356011214421486,cju2qxxko229x08786gvxxhur,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9791317832930887,0.9591167275748335,0.968218690963511,0.9902936897595238,0.5956557086795577,6.708203932499369,cju2r2obh2bjm08553kng0rh7,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9417490186895966,0.889910839036931,0.9823134535356646,0.9044019246279925,0.539883734873261,82.99397502890899,cju2r6mt2om21099352pny5gw,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.979469293829121,0.9597646478508971,0.9671933250471024,0.9920608907808149,0.6050658608081237,7.0710678118654755,cju2rlqdnoz9k0993cpjae3x0,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.8983547441762824,0.8154664484118058,0.8498933901556549,0.9526768641992029,0.5888113463500084,8.06225774829855,cju2rmd2rsw9g09888hh1efu0,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9652496904583966,0.9328334396787997,0.9728785357575228,0.95773955772387,0.838770555205483,6.909363379870801,cju2syxa93yw40799x2iuwabz,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9775747698924012,0.9561332614899598,0.9841027773881228,0.9711327982443856,0.7852533678679837,4.218733674818955,cju2t16vuucaq0835xcpsivn2,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9378456458896498,0.8829654957966819,0.8886281870726682,0.9928346731825163,0.39708880885710857,8.927174577851329,cju2t2ivz43i10878zeg8r1br,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.9761471176494129,0.9534056449676148,0.9589981229413479,0.9939206030701324,0.7638738118922436,5.385164807134504,cju2upu4evw7g08358guwozxv,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
0.5259715870163585,0.3568259487968199,0.9475402005974563,0.3640172482327777,0.3952661186634931,157.93509859125243,cju2uzabhs6er0993x3aaf87p,kvasir-seg,unetpp,polypseg/runs/unetpp_seed42/best.pth,True
