dice,iou,precision,recall,boundary_f1,hd95,name,dataset,model,checkpoint,tta
0.9170300585302835,0.8467733252926363,0.8928571428551156,0.9425482958608347,0.33441167451180226,33.98675610780978,cju14hjh2ob2o0835ouz3r5aa,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
0.9542783591681764,0.9125548538988747,0.9222282314739799,0.9886363636334977,0.5349334795180776,13.0,cju16jgnyzp970878melv7r25,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
0.8904216553762309,0.8024865118272934,0.9240950837135578,0.8591160220778725,0.3416632179571989,7.0710678118654755,cju17r8il13910799dr2wme2e,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
0.9759578056799336,0.9530445240373525,0.9793138650807852,0.9726246698125013,0.5957686098633467,5.830951894845301,cju18849rrsgr0988p90hkygb,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
0.9521413040799547,0.9086542945028973,0.9117151679568086,0.9963188302009492,0.40674887024765555,10.63014581273465,cju1b75x63ddl0799sdp0i2j3,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
0.8849524412526514,0.7936454676846362,0.9874543722358541,0.8017295324171722,0.19006014443252942,84.38838706970823,cju1c0qb4tzi308355wtsnp0y,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
0.963033802262157,0.9287031769820746,0.9359798471144267,0.9916982660218097,0.365454315669132,112.01785571952357,cju1c3218411b08014g9f6gig,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
0.8509029511053776,0.7404970293187216,0.8560561299789065,0.8458114419085974,0.2805070817483468,315.11322312703174,cju1cbokpuiw70988j4lq1fpi,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
0.9619111890917481,0.9266174329055199,0.9729154152734509,0.9511531069776257,0.5207857504902781,7.211102550927978,cju1cdxvz48hw0801i0fjwcnk,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
0.12251227707408342,0.06525330396470326,0.9699863574231677,0.06538532278824771,0.17153820828286917,305.57175864151816,cju1drnhbrb9409935wi7vkhg,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
0.969607116380872,0.9410071942415271,0.9452419275336029,0.9952616470065532,0.49690753246711067,7.615773105863909,cju1haab178i70799tk9z8y8x,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
0.9634756206454685,0.9295252864630621,0.9526921124065593,0.9745060404178062,0.4468600088103865,25.75343222471011,cju2hos57llxm08359g92p6jj,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
0.9651731544628517,0.9326904869402172,0.9368251645926309,0.995290277452405,0.3240462423444686,12.529964086141668,cju2hw5gjlr5h0988so2qqres,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
0.9724729002920093,0.946420683764324,0.9885578948972078,0.9569029684089724,0.4776815320753098,10.563242678385105,cju2lberzkdzm09938cl40pog,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
0.9662415224188525,0.9346878824923638,0.9425792436015474,0.9911224171893307,0.5579144756349353,7.0,cju2lcyfgkf5809932fn9gucn,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
0.8729608777237946,0.7745612911473153,0.9605527904242281,0.8000088198959252,0.2814041056879239,239.8553718374914,cju2nqapmzvk20801f9us40dx,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
0.9748155229558904,0.9508683995748288,0.9559943747746631,0.9943926372829012,0.6718465068530339,3.605551275463989,cju2nsmwjlzyl0993jl80chvz,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
0.9388722909827408,0.8847872720732713,0.9890098910930711,0.8935728470802781,0.3768531690337685,13.914010562090393,cju2otvvv0l7z0855x7we8cb0,kvasir-seg,segformer,polypseg/runs/segformer_seed1337/best.pth,False
