dataset,best,worst,best_dice,worst_dice,spread,spread_in_sigma
kvasir-seg,SegFormer-B2,SegFormer-B0,0.9141780247799973,0.8931991165905098,0.020978908189487555,3.616163588389115
cvc-clinicdb,U-Net+PVTv2,SegFormer-B0,0.873792281606218,0.8450427895371473,0.028749492069070737,4.955589941375052
cvc-300,U-Net+PVTv2,SegFormer-B0,0.8728081702242777,0.8394865926440895,0.033321577580188166,5.7436866811562535
cvc-colondb,SegFormer-B2,U-Net,0.7738207904675318,0.7190682520062974,0.0547525384612344,9.437771220840009
etis-larib,U-Net+PVTv2,U-Net++,0.7705996048275511,0.6551235449876016,0.11547605983994946,19.904769073402765
