model,n_runs,mean,sd,spread,runs
U-Net,3,0.9079720943313848,0.0002481834808603223,0.0004854083393414088,"[0.9082, 0.9079, 0.9078]"
U-Net++,3,0.9023146230042077,0.006966025138480281,0.012162846258795268,"[0.8984, 0.9104, 0.8982]"
SegFormer-B0,3,0.8995130968314938,0.004871635783573181,0.009609508777538522,"[0.9048, 0.8952, 0.8986]"
SegFormer-B2,3,0.9031280676503153,0.007872255147724768,0.014297706581345548,"[0.8993, 0.8979, 0.9122]"
U-Net+PVTv2,3,0.916481822440608,0.00904903422069753,0.017372656974551592,"[0.9237, 0.9194, 0.9063]"
