epoch,train_loss,val_dice,lr,seconds
1,1.19648,0.55906,9.993148e-05,4.6
2,0.97128,0.69738,9.972609e-05,3.9
3,0.88346,0.74189,9.938442e-05,3.8
4,0.80479,0.80117,9.890738e-05,4.0
5,0.73803,0.79654,9.829629e-05,3.9
6,0.68430,0.82775,9.755283e-05,4.0
7,0.62664,0.83494,9.667902e-05,4.1
8,0.58784,0.81442,9.567727e-05,3.9
9,0.55776,0.83393,9.455033e-05,3.8
10,0.51445,0.83250,9.330127e-05,3.7
11,0.48190,0.83722,9.193353e-05,3.4
12,0.45409,0.83752,9.045085e-05,3.5
13,0.43700,0.82612,8.885730e-05,3.6
14,0.40391,0.85546,8.715724e-05,4.0
15,0.38603,0.85227,8.535534e-05,3.8
16,0.36835,0.85454,8.345653e-05,3.9
17,0.34724,0.84115,8.146602e-05,3.9
18,0.32413,0.84498,7.938926e-05,3.9
19,0.31683,0.83277,7.723195e-05,3.9
20,0.29849,0.86284,7.500000e-05,4.0
21,0.29119,0.84700,7.269952e-05,3.9
22,0.28123,0.83485,7.033683e-05,4.2
23,0.28609,0.86923,6.791840e-05,4.0
24,0.28270,0.87054,6.545085e-05,4.0
25,0.26326,0.86091,6.294095e-05,3.9
26,0.25373,0.86748,6.039558e-05,4.0
27,0.24305,0.87484,5.782172e-05,4.0
28,0.23723,0.87676,5.522642e-05,3.7
29,0.23791,0.86267,5.261680e-05,4.0
30,0.21977,0.86204,5.000000e-05,4.0
31,0.21727,0.86567,4.738320e-05,4.0
32,0.21734,0.86922,4.477358e-05,4.1
33,0.21358,0.87845,4.217828e-05,3.9
34,0.20054,0.87891,3.960442e-05,3.9
35,0.20411,0.87603,3.705905e-05,3.9
36,0.21055,0.87884,3.454915e-05,4.0
37,0.19232,0.88252,3.208160e-05,3.9
38,0.18432,0.87722,2.966317e-05,3.5
39,0.18525,0.86734,2.730048e-05,3.6
40,0.17452,0.86930,2.500000e-05,3.4
41,0.17565,0.86307,2.276805e-05,3.6
42,0.16867,0.85721,2.061074e-05,3.6
43,0.18421,0.88290,1.853398e-05,3.5
44,0.17727,0.87674,1.654347e-05,3.6
45,0.16915,0.87814,1.464466e-05,3.7
46,0.16209,0.87726,1.284276e-05,3.7
47,0.16715,0.87730,1.114270e-05,3.9
48,0.16730,0.87723,9.549150e-06,3.8
49,0.16862,0.87534,8.066472e-06,3.6
50,0.16457,0.87311,6.698730e-06,3.6
51,0.16563,0.87437,5.449674e-06,3.6
52,0.15997,0.87585,4.322727e-06,3.6
53,0.16827,0.87580,3.320979e-06,3.7
54,0.16679,0.87806,2.447174e-06,3.6
55,0.15769,0.87766,1.703709e-06,3.8
56,0.15887,0.87613,1.092620e-06,3.7
57,0.15183,0.87827,6.155830e-07,3.7
58,0.16112,0.87829,2.739052e-07,3.5
