model,stratum,n,dice,ci_lo,ci_hi,boundary_f1
U-Net,small,33,0.8811203278418838,0.8376910684368041,0.9185044159247131,0.5235706217312007
U-Net,medium,33,0.9067873734935652,0.8770883052328639,0.9317046532380348,0.46337944902337086
U-Net,large,34,0.922489003566862,0.8905029290007821,0.9482721173558005,0.4518770810620433
U-Net++,small,33,0.9021919966801951,0.8654002391665842,0.9320838076052838,0.5557347145198909
U-Net++,medium,33,0.9232671257761079,0.898980791987847,0.9434700851561174,0.49608537949746445
U-Net++,large,34,0.9224627554686762,0.8894151688871007,0.9496005372020349,0.48962534806507557
SegFormer-B0,small,33,0.9052247553366914,0.8758948362951429,0.9292850719596047,0.46506645321629975
SegFormer-B0,medium,33,0.9214774599817549,0.9013933713979658,0.9388092952027169,0.4201565336531814
SegFormer-B0,large,34,0.9270314030234504,0.8959410842581661,0.9518692772879787,0.4009923776228929
