model,stratum,n,dice,ci_lo,ci_hi
U-Net,sessile,19,0.8542929662156473,0.7974170242174127,0.9031487685548205
U-Net,non-sessile,81,0.9152347395956274,0.8943599266090126,0.9341662683783896
U-Net++,sessile,19,0.914056794873731,0.8867655485113958,0.9362322948732255
U-Net++,non-sessile,81,0.916503773140643,0.8954572201221703,0.9352943778472714
SegFormer-B0,sessile,19,0.8806442269635152,0.8503626411074667,0.9060910886662344
SegFormer-B0,non-sessile,81,0.9267654382222131,0.9092577769580941,0.9419943410740873
