model,in_domain,out_domain,gap,relative_drop_pct
U-Net,0.903655802653431,0.8287515858795936,0.0749042167738374,8.289020726021342
U-Net++,0.9160388472699298,0.8535822796117518,0.062456567658177975,6.818113428739103
SegFormer-B0,0.9180024080830606,0.8506053520655662,0.06739705601749435,7.3417079763690865
