model,in_domain,out_domain,out_fold_std,gap,rel_drop
U-Net,0.8960680065832696,0.8439379929842472,0.011911113433331653,0.05213001359902236,5.817640314801044
U-Net++,0.9023015126716579,0.8475749534307747,0.005825190655788913,0.05472655924088321,6.0652186073412775
SegFormer-B0,0.8962568540487832,0.8482003740199989,0.0033882843629059927,0.048056480028784265,5.361909346823087
