model,sessile,non_sessile,diff,ci_lo,ci_hi,p
U-Net,0.8306746919569017,0.9120096603976579,-0.08140894058184647,-0.11390034476346286,-0.051259479962981545,8.934040837555898e-20
U-Net++,0.8400897869542934,0.9174675552594734,-0.07751418140173041,-0.1104451453107136,-0.047149943043058605,1.0564468495731875e-18
SegFormer-B0,0.8320390304321682,0.9119119453782065,-0.08000432199821407,-0.10980539961912249,-0.05209607104860795,1.381977235400164e-20
