model,dice,fold_std,iou,boundary_f1,hd95_pct
U-Net,0.8960680065832696,0.011151694261116219,0.8370412844648493,0.6636745491951342,6.440514376885221
U-Net++,0.9023015126716579,0.007827977758443466,0.846545607814642,0.6821880466991924,5.790120356977135
SegFormer-B0,0.8962568540487832,0.004677654323269465,0.8338830539355775,0.6014683911952539,5.855842978570092
