model,stratum,n,dice,boundary_f1
U-Net,small,334,0.8765092151982832,0.7045681304715304
U-Net,medium,333,0.9164878750527836,0.6903756330915505
U-Net,large,333,0.8952656646080063,0.5959570804749452
U-Net++,small,334,0.8850128657260186,0.7237129212354291
U-Net++,medium,333,0.9214579208314734,0.7148600936580183
U-Net++,large,333,0.9004856693161782,0.6078664258811983
SegFormer-B0,small,334,0.8712068567062033,0.637108372927358
SegFormer-B0,medium,333,0.9210981660271896,0.6332131756172635
SegFormer-B0,large,333,0.8965407646302017,0.5339765980689716
