dice,iou,precision,recall,boundary_f1,boundary_f1_2px,tolerance_px,hd95,hd95_pct_diag,name,dataset,model,checkpoint,tta
0.9456671567021472,0.896934172840704,0.9549573462050129,0.9365559826855122,0.5992561303883183,0.17447087791645735,8,19.860747081863025,1.2530609387437464,cju0sr5ghl0nd08789uzf1raf,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.2595168648548387,0.14910622206815824,0.14910622206815824,0.9999999999423631,0.04984910230320989,0.0,4,119.02793181049175,14.577247163111641,cju0tl3uz8blh0993wxvn7ly3,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9394925835637553,0.8858896873355676,0.8996327082921906,0.9830483412712339,0.5934477059107817,0.40610664543161706,4,61.58973667396601,7.614582686135134,cju0u2g7pmnux0801vkk47ivj,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.8138150985927665,0.6860777755873428,0.7588858261949885,0.8773165618375067,0.37121597758231284,0.261622313719264,4,42.5440947723653,5.117685036318033,cju15l5ubz9yh0855b3ivdpse,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9541947926673329,0.9124020285775902,0.9150034676665253,0.9968936277306951,0.7932881768226371,0.5086889326240835,4,6.0,0.8383118475046072,cju16d65tzw9d0799ouslsw25,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.939992055555029,0.8867783118806875,0.8909921840489964,0.9946950371028679,0.6039437719031784,0.5328881496187017,4,22.38282121134712,2.905534601736129,cju16jgnyzp970878melv7r25,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9487915644405773,0.9025722514637717,0.9345828030787673,0.9634390363476625,0.43854202297325595,0.2227865527746188,4,24.0,2.9443420346372693,cju175facms5f0993a5tjikvt,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9508861930482193,0.9063708691538781,0.9698080840549591,0.9326885401395462,0.6471538376348653,0.45307040338970456,4,15.185382579242415,1.8864120394968749,cju183od81ff608017ekzif89,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.8126668569591943,0.6844472098857809,0.7242039741419554,0.9257488236833872,0.48218257130369363,0.40189632639639744,4,54.67540470484789,6.5821833958983,cju18gzrq18zw0878wbf4ftw6,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.8663582459056078,0.76422577306858,0.9471434677169519,0.7982708933621725,0.6298804741362753,0.33978348581590534,4,25.314910779077298,3.0562220651387437,cju1amqw6p8pw0993d9gc5crl,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9584313571074619,0.9201806944243291,0.9676803816319466,0.9493574618261161,0.4458388736314423,0.31820904029065533,4,14.426900485154444,1.7666008885565514,cju1ats0y372e08011yazcsxm,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.8730783242226846,0.7747462339123634,0.871744507486747,0.8744162288319146,0.5467174635203733,0.38238814407208116,4,312.9917627158197,38.58319443618751,cju1cbokpuiw70988j4lq1fpi,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9711651185848914,0.9439465322648319,0.9572879397298667,0.985450552464975,0.8344045644499593,0.6521728438019933,4,16.15549442140351,1.969801447228598,cju1csmlc4ht10799b8ymmghg,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9194760908280265,0.8509539520811149,0.9969747899075884,0.8531569106798996,0.5054419311186125,0.3700440029808525,4,14.866068747318506,1.8177468236843903,cju1cvkfwqrec0993wbp1jlzm,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.955700353001467,0.9151591267394248,0.9156647980955593,0.9993969223576451,0.6957920420338282,0.19532155153314962,9,21.288071759025446,1.2369253925837733,cju1dfeupuzlw0835gnxip369,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.10421583599402051,0.05497241614984384,0.05586703051338163,0.7744154057505359,0.28869282270392566,0.15540286327361638,4,382.7259886302934,46.865511568732686,cju1dg44i4z3w0801nyz4p6zf,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9497041420092327,0.9042253521079592,0.9696257761315118,0.9305846352019617,0.6876753045254467,0.42915118896837584,4,9.848857801796104,1.242872122655175,cju1djtprvd7b0988thwwrg09,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.8460243491818235,0.7331388219344025,0.8227980258123443,0.8706000502090354,0.4652859856201037,0.32092689562481164,4,35.17101079013795,4.226936905184986,cju1dnz61vfp40988e78bkjga,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9673525692594446,0.9367694534093933,0.9527313897510536,0.9824295137441409,0.8001035775675974,0.6770766373700607,4,15.0,1.8693740554960763,cju1dq3x1vgx109889c7wyirg,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9335726416541864,0.8754207535544619,0.9128375445796372,0.955271628584776,0.620720563501533,0.5270892924478209,4,37.14565103565455,4.496742426715938,cju1ejj7dvqfa0835ra184v5m,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9366131594780677,0.8807831014895374,0.9862128641419889,0.8917636012681041,0.555142930330224,0.3190847234020849,4,11.661903789690601,1.4259579268827707,cju1euant5l960878iqj5vvto,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9684136227238026,0.9387615463484539,0.9712414830460026,0.9656021817457059,0.9022705244953354,0.6935127360075485,4,5.0,0.6423997597322564,cju1euuc65wm00799m4sjdnnn,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.8605629331770005,0.7552527105129542,0.7617430805957904,0.988844306641775,0.48601302216268405,0.43046678047843917,4,54.50683863847864,6.996450341738336,cju1f320ewfyu0988ndz6blh5,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9073800241846031,0.8304625984047622,0.8636131013085053,0.9558198810264565,0.7436119032283464,0.4157226724438417,4,6.708203932499369,0.821432090695195,cju1f79yhsb5w0993txub59ol,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9313148738619846,0.8714586280690033,0.9810415411777511,0.8863860678336272,0.4798130921380869,0.312913759578129,4,54.12485388300367,6.510749759561707,cju1fb9236a110801yvg0fwju,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.7964785623389012,0.6617900914891578,0.6628714198021433,0.9975411115723908,0.49530799324162506,0.32536164365954995,4,211.8962010041709,26.675566608104205,cju1fj6axwfp30835ukhuzhw9,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.7396122803707366,0.5868133026464981,0.601447709592694,0.9601862764798339,0.37035520621900436,0.24905312520354914,4,107.10415318387071,13.115103440092623,cju1gkndf6yi10801o1qnje19,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9543804498298927,0.9127415891130083,0.9244544334015482,0.9863087871210836,0.8045245533713004,0.46471995621340567,4,6.708203932499369,0.8570197349882559,cju2hewssldzx0835ep795xu0,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9439758112213317,0.8938960122808127,0.9167393663405818,0.9728802077430894,0.7401302680091094,0.42024530511718977,4,40.42106244887192,4.950332320743886,cju2hos57llxm08359g92p6jj,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9593104890501604,0.9218027845544398,0.9233003148483642,0.998243568817909,0.45438381507119746,0.19804499890963403,4,13.601470508735444,1.6659901518678266,cju2hw5gjlr5h0988so2qqres,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9802793796733413,0.9613215229082229,0.9803041963697137,0.9802545642324288,0.7666131053756521,0.5947600972217167,4,18.38205465483379,2.298538108443064,cju2i3hzclw3o0988rrgh911i,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9797461403609583,0.9602964312309342,0.97431373784266,0.9852394605479765,0.8942297543187436,0.5917939966706599,4,5.0,0.603573839099262,cju2i6acqvo6l0799u20fift8,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9694096053814382,0.9406352033197752,0.95542937540347,0.9838050395768416,0.7716850820722341,0.6094404139936538,4,6.0,0.759233379111227,cju2mh8t6p07008350e01tx2a,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9636514100182003,0.929852579849724,0.9879911238709438,0.9404821073529434,0.7565438167953161,0.5348536063994908,4,8.94427190999916,1.1132003221902762,cju2np2k9zi3v079992ypxqkn,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.912121312781597,0.8384402815297356,0.8416785446061249,0.9954322173666453,0.41520956007847803,0.23431207642657934,4,65.68710930030717,8.265178048559203,cju2osuru0ki00855txo0n3uu,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9511353315146431,0.9068236924103446,0.9570462438267362,0.9452969850110792,0.6631911900815771,0.38448343653180944,4,8.94427190999916,1.147076782714915,cju2otvvv0l7z0855x7we8cb0,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9677106616742955,0.9374413023037216,0.945606694558181,0.9908727423107931,0.7754033756808563,0.7001421555097825,4,17.74216618871905,2.1745920846039257,cju2p0eveqtdc0835gpi3p93i,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.8917205037336874,0.8045989362230451,0.8646651270157929,0.9205236953659074,0.5953741030137636,0.40475726925597133,4,67.88331874256714,8.721645530010662,cju2pag1f0s4r0878h52uq83s,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.8822963630885448,0.7893831011649831,0.7921096659269466,0.9956583678142743,0.55017478065267,0.40699915504597484,4,103.0841877161714,12.624630707183075,cju2pjb9v0ywn0878j5g5n69j,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9752215748960018,0.9516413997465187,0.9549067825661818,0.9964195136476311,0.7995834409092117,0.5927690474695866,4,6.324555320336759,0.7739483720285354,cju2pmhtr17a00855cvpelzb0,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9258695710192922,0.8619712709357772,0.8900408016605762,0.9647039190026848,0.5892651683275765,0.4702435076188905,4,35.84689665786984,4.315484252007596,cju2qozsk20cq0855ugrg3cri,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9600298841897643,0.9231321838914668,0.9636295462886459,0.9564570152408549,0.9856071438713299,0.7819891844513948,4,3.605551275463989,0.4419191648223229,cju2qs32r1vys07999conmbvx,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.8582876840147661,0.751754773945932,0.948443603366392,0.7837837837829981,0.2868244861389844,0.21217721744397305,4,106.37950223807125,13.21524267007316,cju2qvuj1s9ok0835tp2k4ozh,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.9771474645714159,0.9553160702309671,0.9842244620942433,0.970171513793547,0.8079658105977237,0.5557135583454728,4,6.0,0.7353979423278957,cju2r11x7sdgx0988o8ule0wl,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
0.8649761939278143,0.7620775787259596,0.9822150913019713,0.7727405421626601,0.33289226336724925,0.16790227080951972,4,147.0,18.089571129153533,cju2ricdv2iys0878sv1adh0u,kvasir-seg,segformer,polypseg/runs_cv/segformer_seed42_fold4/best.pth,False
